id,title,authors,year,venue,search_strings
1,Practical Mutation Testing at Scale: A view from Google,Goran Petrović; Marko Ivanković; Gordon Fraser; René Just,2021,IEEE Transactions on Software Engineering,String A
2,Development of Genome-Derived Tumor Type Prediction to Inform Clinical Cancer Care,Alexander Penson; Niedzica Camacho; Youyun Zheng; Anna M. Varghese; Hikmat Al‐Ahmadie; Pedram Razavi; Sarat Chandarlapaty; Christina Vallejo; Efsevia Vakiani; Teresa Gilewski; Jonathan E. Rosenberg; Maha Shady; Dana W.Y. Tsui; Dalicia N. Reales; Adam Abeshouse; Aijazuddin Syed; Ahmet Zehir; Nikolaus Schultz; Marc Ladanyi; David B. Solit; David S. Klimstra; David M. Hyman; Barry S. Taylor; Michael F. Berger,2019,JAMA Oncology,String A
3,When resistance gene pyramids are not durable—the role of pathogen diversity,Remco Stam; Bruce A. McDonald,2018,Molecular Plant Pathology,String A
4,Author response: Escape from neutralizing antibodies by SARS-CoV-2 spike protein variants,Yiska Weisblum; Fabian Schmidt; Fengwen Zhang; Justin DaSilva; Daniel Poston; Júlio CC Lorenzi; Frauke Muecksch; Magdalena Rutkowska; Hans-Heinrich Hoffmann; Eleftherios Michailidis; Christian Gaebler; Marianna Agudelo; Alice Cho; Zijun Wang; Anna Gazumyan; Melissa Cipolla; Larry L. Luchsinger; Christopher D. Hillyer; Marina Caskey; Davide F. Robbiani; Charles M. Rice; Michel C. Nussenzweig; Théodora Hatziioannou; Paul D. Bieniasz,2020,,String A
5,Are mutants really natural?,Matthieu Jimenez; Thiery Titcheu Checkam; Maxime Cordy; Mike Papadakis; Marinos Kintis; Yves Le Traon; Mark Harman,2018,,String A
6,Whole-genome sequencing of Puccinia striiformis f. sp. tritici mutant isolates identifies avirulence gene candidates,Yuxiang Li; Chongjing Xia; Meinan Wang; Chuntao Yin; Xianming Chen,2020,BMC Genomics,String A
7,A large deletion at the cortex locus eliminates butterfly wing patterning,Joseph J. Hanly; Luca Livraghi; Christa Heryanto; W. Owen McMillan; Chris D. Jiggins; Lawrence E. Gilbert; Arnaud Martin,2022,G3 Genes Genomes Genetics,String A
8,Developing a novel artificial rice germplasm for dinitroaniline herbicide resistance by base editing of <i>OsTubA2</i>,Lang Liu; Yongjie Kuang; Fang Yan; Shaofang Li; Bin Ren; Gokul Gosavi; Carl Spetz; Xiangju Li; Xifeng Wang; Xueping Zhou; Huanbin Zhou,2020,Plant Biotechnology Journal,String A
9,Switching the Ligand Specificity of the Biosensor XylS from <i>meta</i> to <i>para</i>-Toluic Acid through Directed Evolution Exploiting a Dual Selection System,Yuki Ogawa; Yohei Katsuyama; Kento Ueno; Yasuo Ohnishi,2019,ACS Synthetic Biology,String A
10,"Multicenter Evaluation of the Fully Automated PCR-Based Idylla EGFR Mutation Assay on Formalin-Fixed, Paraffin-Embedded Tissue of Human Lung Cancer",Solène Evrard; Estelle Taranchon‐Clermont; Isabelle Rouquette; Samuel Murray; Sebastian Dintner; Yun‐Chung Nam‐Apostolopoulos; Beatríz Bellosillo; Mar Varela; Ernest Nadal; Klaus Hermann Wiedorn; Linea Cecilie Melchior; Emma Andrew; Mary Kate Jones; Jennifer Ridgway; Christina Frykman; Linda Lind; Mitja Rot; Izidor Kern; Ernst‐Jan M. Speel; Guido M.J.M. Roemen; Nicol Francesca Trincheri; Sandra N. Freiberger; Markus Rechsteiner,2019,Journal of Molecular Diagnostics,String A
11,"GL3.3, a Novel QTL Encoding a GSK3/SHAGGY-like Kinase, Epistatically Interacts with GS3 to Produce Extra-long Grains in Rice",Duo Xia; Hao Zhou; Rongjia Liu; Wenhan Dan; Pingbo Li; Bian Wu; Junxiao Chen; Lingqiang Wang; Guanjun Gao; Qinglu Zhang; Yuqing He,2018,Molecular Plant,String A
12,Engineering precision nanoparticles for drug delivery,Michael J. Mitchell; Margaret M. Billingsley; Rebecca M. Haley; Marissa E. Wechsler; Nicholas A. Peppas; Róbert Langer,2020,Nature Reviews Drug Discovery,String A
13,Fertility recovery of wheat male sterility controlled by <i>Ms2</i> using CRISPR/Cas9,Huali Tang; Huiyun Liu; Yang Zhou; Hongwei Liu; Lipu Du; Ke Wang; Xingguo Ye,2020,Plant Biotechnology Journal,String A
14,Analysis of the source of aggressiveness in gamecocks,Tomoyoshi Komiyama; Masanobu Yoshikawa; Keiko Yokoyama; Hiroyuki Kobayashi,2020,Scientific Reports,String A
15,PROTAC targeted protein degraders: the past is prologue,Miklós Békés; David R. Langley; Craig M. Crews,2022,Nature Reviews Drug Discovery,String A
16,Developing a UV–visible reporter‐assisted CRISPR/Cas9 gene editing system to alter flowering time in <i>Chrysanthemum indicum</i>,Lei Liu; Yujin Xue; Jiayi Luo; Mingzheng Han; Xuening Liu; Tianhua Jiang; Yafei Zhao; Yanjie Xu; Chao Ma,2023,Plant Biotechnology Journal,String A
17,Association of immune checkpoint inhibitor with survival in patients with cancers with protein tyrosine phosphatase receptor T mutation,Zifan He; Anlin Li; Dagui Lin; Yang Gu; Yongjian Chen; Qiyun Ou; Li Li; Herui Yao; Yunfang Yu,2020,Clinical and Translational Medicine,String A
18,Building artificial genetic circuits to understand protein function,Louis H. Scott; James C. Mathews; Aleksandra Filipovska; Oliver Rackham,2019,Methods in enzymology on CD-ROM/Methods in enzymology,String A
19,Particle Swarm Optimization: A Comprehensive Survey,Tareq M. Shami; Ayman A. El‐Saleh; Mohammed Alswaitti; Qasem Al-Tashi; Mhd Amen Summakieh; Seyedali Mirjalili,2022,IEEE Access,String A
20,Improved protein structure prediction using predicted interresidue orientations,Jianyi Yang; Ivan Anishchenko; Hahnbeom Park; Zhenling Peng; Sergey Ovchinnikov; David Baker,2020,Proceedings of the National Academy of Sciences,String A
21,Large language models generate functional protein sequences across diverse families,Ali Madani; Ben Krause; Eric R. Greene; Subu Subramanian; Benjamin P. Mohr; James M. Holton; J.L. Olmos; Caiming Xiong; Zachary Z. Sun; Richard Socher; James S. Fraser; Nikhil Naik,2023,Nature Biotechnology,String A
22,Substrate Recognition Properties from an Intermediate Structural State of the UreA Transporter,Manuel Sanguinetti; Lucianna Helene Santos; Juliette Dourron; Catalina Alamón; Juan Idiarte; Sotiris Amillis; Sergio Pantano; Ana Ramón,2022,International Journal of Molecular Sciences,String A
23,CRISPR/Cas Genome Editing and Precision Plant Breeding in Agriculture,Kunling Chen; Yanpeng Wang; Rui Zhang; Huawei Zhang; Caixia Gao,2019,Annual Review of Plant Biology,String A
24,Oxidative Stress in Cancer,John D. Hayes; Albena T. Dinkova‐Kostova; Kenneth D. Tew,2020,Cancer Cell,String A
25,"Applications of genome editing technology in the targeted therapy of human diseases: mechanisms, advances and prospects",Hongyi Li; Yang Yang; Weiqi Hong; Mengyuan Huang; Min Wu; Xia Zhao,2020,Signal Transduction and Targeted Therapy,String A
