id,query,baseline_answer
sjs_001,How does the SJS system configure Access Token and Refresh Token security to prevent cyber attacks?,"The SJS system configures Access Token and Refresh Token security to prevent cyber attacks as follows:

**Access Token:**

1.  **Short-lived**: The Access Token has a short lifespan of 15 minutes, which limits the damage in case of a token compromise.
2.  **Random UUID**: The Access Token is a cryptographically secure random UUID, making it difficult to guess or brute-force.
3.  **Signed with RS256**: The Access Token is signed with the RS256 algorithm, which provides a high level of security and prevents tampering.

**Refresh Token:**

1.  **Long-lived**: The Refresh Token has a longer lifespan of 7 days, allowing users to maintain access without re-authenticating.
2.  **HttpOnly and Secure Cookies**: The Refresh Token is stored in an HttpOnly and Secure cookie, which prevents JavaScript access and ensures transmission over a secure channel.
3.  **SameSite=Strict**: The Refresh Token cookie is set with the SameSite=Strict flag, which prevents cross-site requests and reduces the risk of CSRF attacks.

**Token Verification**:

1.  **Public Key Verification**: The Access Token is verified using a public key, which ensures that the token was signed with the corresponding private key.
2.  **Token Blacklisting**: The system maintains a blacklist of revoked tokens, which prevents the use of compromised or expired tokens.

**Cyber Attack Prevention**:

1.  **Prevents Token Theft**: The use of short-lived Access Tokens and secure storage of Refresh Tokens prevents token theft and reduces the risk of cyber attacks.
2.  **Protects against CSRF and XSS**: The SJS system's token configuration protects against CSRF and XSS attacks by using secure cookies and strict token verification.

By configuring Access Token and Refresh Token security in this way, the SJS system provides a robust defense against cyber attacks and protects user data."
sjs_002,How is the Multer library configured and what is the file processing flow when the author submits an article?,"The Multer library is configured and the file processing flow works as follows:

**Multer Configuration:**

1.  **Memory Limit**: The Multer library is configured with a `fileSize` limit of 20MB, which prevents large file uploads.
2.  **File Filter**: The library uses a `fileFilter` to only accept MIME types `application/pdf` and `application/vnd.openxmlformats-officedocument.wordprocessingml.document` (DOCX).

**File Processing Flow:**

1.  **Temporary Buffer**: When the author uploads a file, Multer stores the file in a temporary buffer.
2.  **File Validation**: The library validates the file type and size, ensuring that it meets the configured limits.
3.  **Streaming to Amazon S3**: If the file is valid, Multer streams the file directly to the Amazon S3 bucket using the AWS SDK v3.
4.  **Object URI Generation**: After a successful upload, an Object URI is generated and recorded in the `Articles` table of MySQL.

**Retry-After Mechanism:**

1.  **Network Error Handling**: If a network error occurs during transmission (e.g., Network Timeout), the system uses a Retry-After mechanism for 3 attempts before sending a failure notification to the user.

By configuring Multer with these settings and implementing a retry-after mechanism, the SJS system ensures:

*   **Secure file uploads**: Only valid files are uploaded, and large files are rejected.
*   **Efficient file processing**: Files are processed efficiently, and errors are handled effectively."
sjs_003,Why does the SJS system have to combine both MySQL and Neo4j instead of using only one database?,"The SJS system combines both MySQL and Neo4j databases to leverage the strengths of each database and address specific use cases.

**MySQL:**

1.  **ACID Transactions**: MySQL provides support for ACID (Atomicity, Consistency, Isolation, Durability) transactions, which are essential for ensuring data integrity and consistency in the SJS system's core functionality, such as article processing charge (APC) payments, user accounts, and static metadata of articles.
2.  **Relational Data Model**: MySQL's relational data model is well-suited for storing structured data, such as user information, article metadata, and payment records.

**Neo4j:**

1.  **Graph Data Model**: Neo4j's graph data model is ideal for storing and querying complex relationships between entities, such as authors, articles, and citations.
2.  **Efficient Querying**: Neo4j's graph database architecture enables efficient querying and traversal of complex relationships, making it well-suited for use cases like collaboration analytics and hidden research cluster detection.

**Combining MySQL and Neo4j:**

1.  **Hybrid Approach**: By combining MySQL and Neo4j, the SJS system can leverage the strengths of both databases and create a hybrid approach that addresses specific use cases.
2.  **Optimized Performance**: The hybrid approach optimizes performance by using MySQL for transactional data and Neo4j for complex relationship querying.

**Why not use only one database?**

1.  **Limited capabilities**: Using only one database would limit the capabilities of the SJS system, as each database has its strengths and weaknesses.
2.  **Performance issues**: Using a single database for all data storage and querying could lead to performance issues, as the database would need to handle a wide range of data types and query patterns.

By combining MySQL and Neo4j, the SJS system can:

*   **Optimize performance**: Optimize performance by using the strengths of each database.
*   **Improve data management**: Improve data management by leveraging the strengths of each database.

Overall, the SJS system's hybrid approach enables efficient and scalable data management, allowing the system to support a wide range of use cases and provide a better user experience."
sjs_004,"The process of checking plagiarism through Turnitin API is handled asynchronously, how is it done to not slow down the system?","The process of checking plagiarism through the Turnitin API is handled asynchronously to prevent slowing down the system. Here's a detailed explanation:

1.  **Message Queue (RabbitMQ)**: When an article is submitted, a message is pushed into a message queue (RabbitMQ) with the article's metadata and a request to perform plagiarism checking.
2.  **Background Worker**: A background worker consumes the message from the queue and performs the plagiarism checking using the Turnitin API.
3.  **Asynchronous Processing**: The background worker processes the plagiarism checking request asynchronously, without blocking the main application thread.
4.  **Webhook Notification**: Once the plagiarism checking is complete, Turnitin sends a webhook notification to the SJS system with the results.

**Benefits of Asynchronous Processing:**

1.  **Prevents Blocking**: Asynchronous processing prevents the main application thread from being blocked, ensuring that the system remains responsive.
2.  **Scalability**: Asynchronous processing enables the system to handle a large volume of requests without significant performance degradation.

**Turnitin API Integration:**

1.  **RESTful API**: The SJS system integrates with the Turnitin API using a RESTful API, which provides a simple and efficient way to send requests and receive responses.
2.  **Efficient Data Transfer**: The API is designed to transfer data efficiently, minimizing the amount of data transferred and reducing the load on the system.

**System Performance:**

1.  **Improved Responsiveness**: The asynchronous processing of plagiarism checking requests improves the system's responsiveness, ensuring that users can submit articles quickly and efficiently.
2.  **Scalability**: The system's scalability is improved, enabling it to handle a large volume of requests without significant performance degradation.

By handling the plagiarism checking process asynchronously, the SJS system:

*   **Improves responsiveness**: Improves the system's responsiveness and user experience.
*   **Enhances scalability**: Enhances the system's scalability, enabling it to handle a large volume of requests."
sjs_005,How does the SJS RBAC model handle role-based access control at the project level through middleware?,"The SJS RBAC (Role-Based Access Control) model handles role-based access control at the project level through middleware using the following approach:

**Middleware: `requireProjectAccess`**

1.  **Extract Project ID**: The `requireProjectAccess` middleware extracts the `projectId` from the request parameters (`req.params`) or request body (`req.body`).
2.  **User ID and Role**: It then retrieves the user's ID (`req.user.id`) and role from the decoded JWT token.
3.  **Query Project Members Table**: The middleware queries the `Project_Members` table to check if the user has a matching record with the specified `projectId` and role.
4.  **Check Allowed Roles**: If a matching record is found, the middleware checks if the user's role meets the `allowedRoles` array specified in the route definition.
5.  **403 Forbidden Error**: If the user does not have permission or their role does not meet the required `allowedRoles`, the middleware throws a `403 Forbidden` error with the message 'You do not have permission on this project'.

**Project-Level Context:**

1.  **Extended RBAC Model**: The SJS RBAC model is extended to the project level, allowing users to have different roles in different projects.
2.  **Fine-Grained Access Control**: This approach provides fine-grained access control, enabling administrators to manage user permissions at the project level.

**Benefits:**

1.  **Improved Security**: The `requireProjectAccess` middleware ensures that users only have access to projects they are authorized to access.
2.  **Flexibility and Scalability**: The SJS RBAC model provides flexibility and scalability, enabling administrators to easily manage user permissions across multiple projects.

**Example Use Case:**

Suppose a user with the ID `123` has the role of `Author` in Project A and `Reviewer` in Project B. When the user attempts to access Project A, the `requireProjectAccess` middleware checks their role and ensures they have the required permissions.

By using the `requireProjectAccess` middleware, the SJS RBAC model:

*   **Ensures secure access**: Ensures secure access to projects based on user roles and permissions.
*   **Provides flexibility**: Provides flexibility and scalability in managing user permissions across multiple projects."
sjs_006,The Scatter Plot on the Collaboration Analytics page displays which dimensions of data of a scientist?,"The Scatter Plot on the Collaboration Analytics page displays the following dimensions of data for a scientist:

*   **Productivity (X-axis)**: The Total Number of Accepted Publications, ranging from 0 to 100.
*   **Academic Impact (Y-axis)**: The H-Index, with no maximum limit, based on the total number of citations.
*   **Size of the Data Point (Dot Radius)**: The number of Co-authors that the scientist has collaborated with.

Additionally, when a user hovers over a data point, a custom Tooltip displays a pop-up information box showing:

*   **Author's Name**
*   **Institution**
*   **Average Impact Factor**

These dimensions provide a comprehensive overview of a scientist's collaboration analytics, enabling users to visualize and compare the productivity, academic impact, and collaboration patterns of various scientists."
sjs_007,What technical measures does the system apply to ensure double-blindness during the peer review process?,"The system applies the following technical measures to ensure double-blindness during the peer review process:

1.  **Hiding Author's Name**: The system hides the author's name on the Reviewer's interface.
2.  **Removing Metadata**: The system calls a script to remove the metadata (exif data) of the original PDF file.
3.  **Encrypted Reviewer Identifier**: The system uses an encrypted identifier for the reviewer, such as `Rev_Alpha` or `Rev_Beta`, to maintain anonymity.
4.  **Internal Chat System**: The discussion between the Author and Reviewer takes place through the application's internal Chat system, which helps to maintain the double-blindness.

By applying these technical measures, the system ensures that:

*   **Author's Identity**: The author's identity is not revealed to the reviewer.
*   **Reviewer's Identity**: The reviewer's identity is not revealed to the author.

The double-blindness ensures that the peer review process is fair and unbiased, and helps to maintain the integrity of the academic publishing process."
sjs_008,What is the caching and cache invalidation strategy for the list of articles?,"The caching and cache invalidation strategy for the list of articles is as follows:

**Caching Strategy:**

1.  **Cache Key**: The cache key is designed with a hierarchical syntax: `sjs:articles:journal_{id}:filter_{status}:page_{num}`.
2.  **TTL (Time To Live)**: The stored JSON data has a default TTL of 600 seconds (10 minutes).

**Cache Invalidation Strategy:**

1.  **Active Cache Invalidation**: An active cache invalidation strategy is applied to ensure data consistency.
2.  **Cache Deletion**: Whenever an Editor reviews a new article (PUT/PATCH) or an Author submits an article (POST), the system not only updates the Database but also calls the command `redis.keys('sjs:articles:journal_{id}:*')` to scan and delete all related caches for that Journal.

By using this caching and cache invalidation strategy, the system:

*   **Improves Performance**: Reduces the load on the database and improves page loading speed.
*   **Ensures Data Consistency**: Ensures that users always see the latest data without sacrificing page loading speed."
sjs_009,What database architecture is used for the system to store and manage the status of tracking user posts?,"The system uses a **Hybrid Database Architecture**, which combines the strengths of multiple database management systems.

**Core Components:**

1.  **MySQL 8.0**: Used as the core Relational Database Management System (RDBMS) to manage the integrity of ACID transactions related to:
    *   Article processing charge (APC) payments
    *   User accounts
    *   Static metadata of articles
2.  **Neo4j Graph Database**: Used to store and manage complex relationships between data entities, such as:
    *   Author identity
    *   Institution
    *   Article data

**Benefits:**

1.  **Improved Performance**: The hybrid architecture allows for optimized performance in managing complex relationships and transactions.
2.  **Enhanced Data Integrity**: The use of MySQL 8.0 ensures the integrity of ACID transactions, while Neo4j provides efficient querying of complex relationships.

However, for tracking user posts, specifically for storing and managing the status of user posts, the system utilizes:

**Junction Table (`Project_Article`)**:

1.  **N-N Relationship**: Manages the many-to-many relationship between `Users` and `Articles`.
2.  **Enum Column (`reading_status`)**: Allows users to categorize the status as `To_Read`, `Reading`, or `Completed`.

By using this hybrid database architecture and junction table, the system efficiently stores and manages the status of user posts."
sjs_010,"The Zustand Store in the Front-end SJS application is designed with a specific structure and features to improve UX, including a centralized state management system, automatic memoization, and re-rendering optimization, allowing for efficient and scalable management of global state and improved user experience.","The Zustand Store in the Front-end SJS application is designed with the following structure and features:

**Key Features:**

1.  **Centralized State Management**: Zustand provides a centralized state management system, allowing for efficient management of global state.
2.  **Automatic Memoization**: Zustand supports automatic memoization, which optimizes performance by minimizing unnecessary re-renders.
3.  **Re-rendering Optimization**: Zustand's design enables optimized re-rendering, ensuring a smooth user experience.

**Store Structure:**

The Zustand Store is designed with a simple and lightweight architecture, featuring:

1.  **`useFavoriteArticles.js`**: A custom hook that defines the Zustand store for managing favorite articles.
2.  **Persist Middleware**: The store is equipped with Persist Middleware, which enables automatic synchronization of state to the browser's Local Storage.

**Benefits:**

1.  **Improved UX**: The Zustand Store's design and features improve the user experience by providing efficient and scalable management of global state.
2.  **Efficient Performance**: Automatic memoization and re-rendering optimization ensure optimal performance and minimize unnecessary re-renders.

Overall, the Zustand Store in the Front-end SJS application is designed to provide a robust, efficient, and scalable state management system, ultimately enhancing the user experience."
