mut_id,query,mutated_response
CTX_001_MUT_01,Who is the author of the Pull Request that fixes/deletes unnecessary f-strings in version 0.56.1?,Abstain
CTX_001_MUT_02,Who is the author of the Pull Request that fixes/deletes unnecessary f-strings in version 0.56.1?,Abstain
CTX_001_MUT_03,Who is the author of the Pull Request that fixes/deletes unnecessary f-strings in version 0.56.1?,Abstain
CTX_001_MUT_04,Who is the author of the Pull Request that fixes/deletes unnecessary f-strings in version 0.56.1?,Abstain
CTX_001_MUT_05,Who is the author of the Pull Request that fixes/deletes unnecessary f-strings in version 0.56.1?,Abstain
CTX_001_MUT_06,Who is the author of the Pull Request that fixes/deletes unnecessary f-strings in version 0.56.1?,Abstain
CTX_001_MUT_07,Who is the author of the Pull Request that fixes/deletes unnecessary f-strings in version 0.56.1?,Abstain
CTX_001_MUT_08,Who is the author of the Pull Request that fixes/deletes unnecessary f-strings in version 0.56.1?,Abstain
CTX_001_MUT_09,Who is the author of the Pull Request that fixes/deletes unnecessary f-strings in version 0.56.1?,Abstain
CTX_001_MUT_10,Who is the author of the Pull Request that fixes/deletes unnecessary f-strings in version 0.56.1?,Abstain
CTX_001_MUT_11,Who is the author of the Pull Request that fixes/deletes unnecessary f-strings in version 0.56.1?,Abstain
CTX_001_MUT_12,Who is the author of the Pull Request that fixes/deletes unnecessary f-strings in version 0.56.1?,Abstain
CTX_001_MUT_13,Who is the author of the Pull Request that fixes/deletes unnecessary f-strings in version 0.56.1?,Abstain
CTX_002_MUT_01,Where can I see all the hundreds of other contributors to the FastAPI project beyond the top 50?,Abstain
CTX_002_MUT_02,Where can I see all the hundreds of other contributors to the FastAPI project beyond the top 50?,Abstain
CTX_002_MUT_03,Where can I see all the hundreds of other contributors to the FastAPI project beyond the top 50?,Abstain
CTX_002_MUT_04,Where can I see all the hundreds of other contributors to the FastAPI project beyond the top 50?,You can see them all in the [FastAPI GitHub Contributors page](https://github.com/fastapi/fastapi/graphs/contributors).
CTX_002_MUT_05,Where can I see all the hundreds of other contributors to the FastAPI project beyond the top 50?,Abstain
CTX_002_MUT_06,Where can I see all the hundreds of other contributors to the FastAPI project beyond the top 50?,Abstain
CTX_002_MUT_07,Where can I see all the hundreds of other contributors to the FastAPI project beyond the top 50?,Abstain
CTX_002_MUT_08,Where can I see all the hundreds of other contributors to the FastAPI project beyond the top 50?,Abstain
CTX_002_MUT_09,Where can I see all the hundreds of other contributors to the FastAPI project beyond the top 50?,Abstain
CTX_002_MUT_10,Where can I see all the hundreds of other contributors to the FastAPI project beyond the top 50?,Abstain
CTX_002_MUT_11,Where can I see all the hundreds of other contributors to the FastAPI project beyond the top 50?,Abstain
CTX_002_MUT_12,Where can I see all the hundreds of other contributors to the FastAPI project beyond the top 50?,The FastAPI GitHub Contributors page.
CTX_002_MUT_13,Where can I see all the hundreds of other contributors to the FastAPI project beyond the top 50?,You can see them all in the FastAPI GitHub Contributors page.
CTX_003_MUT_01,What is the default URL path to automatically serve CSS files when using StaticFiles with the name 'static'?,/static_files/styles.css
CTX_003_MUT_02,What is the default URL path to automatically serve CSS files when using StaticFiles with the name 'static'?,/static/styles.css
CTX_003_MUT_03,What is the default URL path to automatically serve CSS files when using StaticFiles with the name 'static'?,/staticfiles/styles.css
CTX_003_MUT_04,What is the default URL path to automatically serve CSS files when using StaticFiles with the name 'static'?,/static_files/styles.css
CTX_003_MUT_05,What is the default URL path to automatically serve CSS files when using StaticFiles with the name 'static'?,/static/css/styles.css
CTX_003_MUT_06,What is the default URL path to automatically serve CSS files when using StaticFiles with the name 'static'?,Abstain
CTX_003_MUT_07,What is the default URL path to automatically serve CSS files when using StaticFiles with the name 'static'?,/static_files/styles.css
CTX_003_MUT_08,What is the default URL path to automatically serve CSS files when using StaticFiles with the name 'static'?,/static_files/styles.css
CTX_003_MUT_09,What is the default URL path to automatically serve CSS files when using StaticFiles with the name 'static'?,/static/styles.css
CTX_003_MUT_10,What is the default URL path to automatically serve CSS files when using StaticFiles with the name 'static'?,Abstain
CTX_003_MUT_11,What is the default URL path to automatically serve CSS files when using StaticFiles with the name 'static'?,/styles.css
CTX_003_MUT_12,What is the default URL path to automatically serve CSS files when using StaticFiles with the name 'static'?,/staticfiles/styles.css
CTX_003_MUT_13,What is the default URL path to automatically serve CSS files when using StaticFiles with the name 'static'?,/static_files/styles.css
CTX_004_MUT_01,"In the OpenAPI specification, what is the information about the metadata of a path operation called?",Abstain
CTX_004_MUT_02,"In the OpenAPI specification, what is the information about the metadata of a path operation called?",Abstain
CTX_004_MUT_03,"In the OpenAPI specification, what is the information about the metadata of a path operation called?","In the OpenAPI specification, the information about the metadata of a path operation is called the [Operation Object](https://github.com/OAI/OpenAPI-Specification/blob/main/versions/3.0.3.md#operation-object)."
CTX_004_MUT_04,"In the OpenAPI specification, what is the information about the metadata of a path operation called?","In the OpenAPI specification, the information about the metadata of a path operation is called the [Operation Object](https://github.com/OAI/OpenAPI-Specification/blob/main/versions/3.0.3.md#operation-object)."
CTX_004_MUT_05,"In the OpenAPI specification, what is the information about the metadata of a path operation called?",Abstain
CTX_004_MUT_06,"In the OpenAPI specification, what is the information about the metadata of a path operation called?",The information about the metadata of a path operation in the OpenAPI specification is called the [Operation Object](https://github.com/OAI/OpenAPI-Specification/blob/main/versions/3.0.3.md#operation-object).
CTX_004_MUT_07,"In the OpenAPI specification, what is the information about the metadata of a path operation called?",Abstain
CTX_004_MUT_08,"In the OpenAPI specification, what is the information about the metadata of a path operation called?",Abstain
CTX_004_MUT_09,"In the OpenAPI specification, what is the information about the metadata of a path operation called?",Abstain
CTX_004_MUT_10,"In the OpenAPI specification, what is the information about the metadata of a path operation called?",Abstain
CTX_004_MUT_11,"In the OpenAPI specification, what is the information about the metadata of a path operation called?",Abstain
CTX_004_MUT_12,"In the OpenAPI specification, what is the information about the metadata of a path operation called?",Abstain
CTX_004_MUT_13,"In the OpenAPI specification, what is the information about the metadata of a path operation called?",Abstain
CTX_005_MUT_01,FastAPI uses which information to create a unique operation ID for a path operation?,Abstain
CTX_005_MUT_02,FastAPI uses which information to create a unique operation ID for a path operation?,Abstain
CTX_005_MUT_03,FastAPI uses which information to create a unique operation ID for a path operation?,"The path, the function name, and the HTTP method/operation."
CTX_005_MUT_04,FastAPI uses which information to create a unique operation ID for a path operation?,Abstain
CTX_005_MUT_05,FastAPI uses which information to create a unique operation ID for a path operation?,Abstain
CTX_005_MUT_06,FastAPI uses which information to create a unique operation ID for a path operation?,"FastAPI uses the **HTTP method/operation**, the **path**, and the **function name** to generate that operation ID."
CTX_005_MUT_07,FastAPI uses which information to create a unique operation ID for a path operation?,Abstain
CTX_005_MUT_08,FastAPI uses which information to create a unique operation ID for a path operation?,Abstain
CTX_005_MUT_09,FastAPI uses which information to create a unique operation ID for a path operation?,"The function name, the HTTP method, and the operation tag."
CTX_005_MUT_10,FastAPI uses which information to create a unique operation ID for a path operation?,"The tag name, the path, and the HTTP method/operation."
CTX_005_MUT_11,FastAPI uses which information to create a unique operation ID for a path operation?,"The function name, the path, and the HTTP status code."
CTX_005_MUT_12,FastAPI uses which information to create a unique operation ID for a path operation?,"The path, the function name, and the HTTP method/operation."
CTX_005_MUT_13,FastAPI uses which information to create a unique operation ID for a path operation?,"FastAPI uses the **tag name**, the **path**, and the **HTTP method/operation** to generate a unique operation ID for a path operation."
CTX_006_MUT_01,What version of Pydantic was FastAPI upgraded to in version 0.24.0?,Abstain
CTX_006_MUT_02,What version of Pydantic was FastAPI upgraded to in version 0.24.0?,Abstain.
CTX_006_MUT_03,What version of Pydantic was FastAPI upgraded to in version 0.24.0?,Abstain
CTX_006_MUT_04,What version of Pydantic was FastAPI upgraded to in version 0.24.0?,Abstain
CTX_006_MUT_05,What version of Pydantic was FastAPI upgraded to in version 0.24.0?,Abstain
CTX_006_MUT_06,What version of Pydantic was FastAPI upgraded to in version 0.24.0?,Abstain
CTX_006_MUT_07,What version of Pydantic was FastAPI upgraded to in version 0.24.0?,Abstain
CTX_006_MUT_08,What version of Pydantic was FastAPI upgraded to in version 0.24.0?,Abstain
CTX_006_MUT_09,What version of Pydantic was FastAPI upgraded to in version 0.24.0?,Abstain
CTX_006_MUT_10,What version of Pydantic was FastAPI upgraded to in version 0.24.0?,Abstain
CTX_006_MUT_11,What version of Pydantic was FastAPI upgraded to in version 0.24.0?,Abstain
CTX_006_MUT_12,What version of Pydantic was FastAPI upgraded to in version 0.24.0?,Abstain
CTX_006_MUT_13,What version of Pydantic was FastAPI upgraded to in version 0.24.0?,Abstain
CTX_007_MUT_01,The CSRF security vulnerability in versions prior to 0.65.2 relates to FastAPI automatically parsing content with any Content-Type as JSON.,Abstain
CTX_007_MUT_02,The CSRF security vulnerability in versions prior to 0.65.2 relates to FastAPI automatically parsing content with any Content-Type as JSON.,Abstain
CTX_007_MUT_03,The CSRF security vulnerability in versions prior to 0.65.2 relates to FastAPI automatically parsing content with any Content-Type as JSON.,Abstain
CTX_007_MUT_04,The CSRF security vulnerability in versions prior to 0.65.2 relates to FastAPI automatically parsing content with any Content-Type as JSON.,Abstain
CTX_007_MUT_05,The CSRF security vulnerability in versions prior to 0.65.2 relates to FastAPI automatically parsing content with any Content-Type as JSON.,Abstain
CTX_007_MUT_06,The CSRF security vulnerability in versions prior to 0.65.2 relates to FastAPI automatically parsing content with any Content-Type as JSON.,Abstain
CTX_007_MUT_07,The CSRF security vulnerability in versions prior to 0.65.2 relates to FastAPI automatically parsing content with any Content-Type as JSON.,Abstain
CTX_007_MUT_08,The CSRF security vulnerability in versions prior to 0.65.2 relates to FastAPI automatically parsing content with any Content-Type as JSON.,Abstain
CTX_007_MUT_09,The CSRF security vulnerability in versions prior to 0.65.2 relates to FastAPI automatically parsing content with any Content-Type as JSON.,Abstain
CTX_007_MUT_10,The CSRF security vulnerability in versions prior to 0.65.2 relates to FastAPI automatically parsing content with any Content-Type as JSON.,Abstain
CTX_007_MUT_11,The CSRF security vulnerability in versions prior to 0.65.2 relates to FastAPI automatically parsing content with any Content-Type as JSON.,Abstain
CTX_007_MUT_12,The CSRF security vulnerability in versions prior to 0.65.2 relates to FastAPI automatically parsing content with any Content-Type as JSON.,Abstain
CTX_007_MUT_13,The CSRF security vulnerability in versions prior to 0.65.2 relates to FastAPI automatically parsing content with any Content-Type as JSON.,Abstain
CTX_008_MUT_01,How to declare HTTP status code for response in decorators like @app.get()?,The HTTP status code for response can be declared with the parameter `status_code` in any of the decorators like `@app.get()`. This parameter should be a number with the HTTP status code.
CTX_008_MUT_02,How to declare HTTP status code for response in decorators like @app.get()?,Abstain
CTX_008_MUT_03,How to declare HTTP status code for response in decorators like @app.get()?,Abstain
CTX_008_MUT_04,How to declare HTTP status code for response in decorators like @app.get()?,"The HTTP status code can be declared with the `status_code` parameter in any of the decorators like `@app.get()`, `@app.post()`, `@app.put()`, `@app.delete()`, etc."
CTX_008_MUT_05,How to declare HTTP status code for response in decorators like @app.get()?,Abstain
CTX_008_MUT_06,How to declare HTTP status code for response in decorators like @app.get()?,Abstain
CTX_008_MUT_07,How to declare HTTP status code for response in decorators like @app.get()?,Abstain
CTX_008_MUT_08,How to declare HTTP status code for response in decorators like @app.get()?,Abstain
CTX_008_MUT_09,How to declare HTTP status code for response in decorators like @app.get()?,Abstain
CTX_008_MUT_10,How to declare HTTP status code for response in decorators like @app.get()?,"The same way you can specify a response model, you can also declare the HTTP status code used for the response with the parameter `status_code` in any of the *path operations*:

* `@app.get()`
* `@app.post()`
* `@app.put()`
* `@app.delete()`
* etc.

You can pass a number with the HTTP status code to the `status_code` parameter."
CTX_008_MUT_11,How to declare HTTP status code for response in decorators like @app.get()?,"The HTTP status code for response can be declared with the parameter `status_code` in any of the decorators like `@app.get()`, `@app.post()`, `@app.put()`, `@app.delete()`, etc. 

```python
@app.get(status_code=200)
```"
